AVON,Avon Rubber,Aerospace & Defense
BA.,BAE Systems,Aerospace & Defense
CHG,Chemring Group,Aerospace & Defense
CHRT,Cohort,Aerospace & Defense
COB,Cobham,Aerospace & Defense
MGGT,Meggitt,Aerospace & Defense
QQ.,QinetiQ Group,Aerospace & Defense
RR.,Rolls-Royce Group,Aerospace & Defense
SNR,Senior,Aerospace & Defense
ULE,Ultra Electronics Holdings,Aerospace & Defense
GKN,GKN,Automobiles & Parts
SCE,Surface Transforms,Automobiles & Parts
TRK,Torotrak,Automobiles & Parts
TRT,Transense Technologies,Automobiles & Parts
BARC,Barclays,Banks
BCB,BCB Holdings,Banks
BGEO,Bank of Georgia Holdings,Banks
BKIR,Bank of Ireland (Governor & Co of),Banks
EIIB,European Islamic Investment Bank,Banks
HSBA,HSBC Holdings,Banks
LLOY,Lloyds Banking Group ORD,Banks
RBS,Royal Bank of Scotland Group (The),Banks
STAN,Standard Chartered,Banks
STB,Secure Trust Bank,Banks
BAG,Barr (A G),Beverages
BVIC,Britvic,Beverages
CCR,C&C Group,Beverages
CGG,Coburg Group,Beverages
DGE,Diageo,Beverages
NICL,Nichols,Beverages
SAB,SABMiller,Beverages
ALNT,Alent,Chemicals
ATIA,Atia Group,Chemicals
BIOM,Biome Technologies,Chemicals
BYOT,Byotrol,Chemicals
CAR,Carclo,Chemicals
CRDA,Croda International,Chemicals
ELM,Elementis,Chemicals
HAL,HaloSource,Chemicals
HDD,Hardide,Chemicals
JMAT,Johnson Matthey,Chemicals
OXA,Oxford Advanced Surfaces Group,Chemicals
PHC,Plant Health Care,Chemicals
PIM,Plant Impact,Chemicals
PLA,Plastics Capital,Chemicals
REVO,Revolymer,Chemicals
SCPA,Scapa Group,Chemicals
SYNT,Synthomer,Chemicals
TET,Treatt,Chemicals
TYR,TyraTech Inc,Chemicals
VCT,Victrex,Chemicals
ZTF,Zotefoams,Chemicals
ALU,Alumasc Group,Construction & Materials
ASH,Ashley House,Construction & Materials
AUK,Aukett Swanke Group,Construction & Materials
AXS,Accsys Technologies,Construction & Materials
BBY,Balfour Beatty,Construction & Materials
BBYB,Balfour Beatty B Shares,Construction & Materials
BHY,Boot (Henry),Construction & Materials
BILN,Billington Holdings,Construction & Materials
BREE,Breedon Aggregates,Construction & Materials
COST,Costain Group,Construction & Materials
CRH,CRH,Construction & Materials
CTO,Clarke (T),Construction & Materials
ELCO,Eleco,Construction & Materials
GFRD,Galliford Try,Construction & Materials
HSM,Heath (Samuel) & Sons,Construction & Materials
HTIG,Hightex Group,Construction & Materials
IKK,Inch Kenneth Kajang Rubber,Construction & Materials
JHD,James Halstead,Construction & Materials
JHDA,James Halstead,Construction & Materials
KGP,Kingspan Group,Construction & Materials
KIE,Kier Group,Construction & Materials
KLR,Keller Group,Construction & Materials
LWB,Low & Bonar,Construction & Materials
MBH,Michelmersh Brick Holdings,Construction & Materials
MGNS,Morgan Sindall,Construction & Materials
MOGP,Mountfield Group,Construction & Materials
MSLH,Marshalls,Construction & Materials
NMD,North Midland Construction,Construction & Materials
NXR,Norcros,Construction & Materials
RNWH,Renew Holdings,Construction & Materials
SMJ,Smart (J) & Co (Contractors),Construction & Materials
SPGH,Superglass Holdings,Construction & Materials
STCM,Steppe Cement,Construction & Materials
SWP,SWP Group,Construction & Materials
TON,Titon Holdings,Construction & Materials
TYMN,Tyman,Construction & Materials
AEN,Andes Energia,Electricity
DRX,Drax Group,Electricity
GKO,Greenko Group,Electricity
GOOD,Good Energy Group,Electricity
IPSA,IPSA Group,Electricity
JEL,Jersey Electricity Company (The),Electricity
KSK,KSK Power Ventur,Electricity
NCE,New City Energy,Electricity
OPG,OPG Power Ventures,Electricity
REH,Renewable Energy Holdings,Electricity
RUR,Rurelec,Electricity
SEA,SeaEnergy,Electricity
SSE,SSE,Electricity
WIND,Renewable Energy Generation,Electricity
AEG,Active Energy Group,Electronic & Electrical Equipment
APC,APC Technology Group,Electronic & Electrical Equipment
CPX,CAP-XX,Electronic & Electrical Equipment
CWR,Ceres Power Holdings,Electronic & Electrical Equipment
DIA,Dialight,Electronic & Electrical Equipment
DSN,Densitron Technologies,Electronic & Electrical Equipment
DWHT,Dewhurst,Electronic & Electrical Equipment
E2V,e2v technologies,Electronic & Electrical Equipment
EKT,Elektron,Electronic & Electrical Equipment
FDBK,Feedback,Electronic & Electrical Equipment
GHH,Gooch & Housego,Electronic & Electrical Equipment
HDT,Holders Technology,Electronic & Electrical Equipment
HLMA,Halma,Electronic & Electrical Equipment
HTY,HellermannTyton Group,Electronic & Electrical Equipment
IGE,Image Scan Holdings,Electronic & Electrical Equipment
JDG,Judges Scientific,Electronic & Electrical Equipment
LED,LED International Holdings,Electronic & Electrical Equipment
LPA,LPA Group,Electronic & Electrical Equipment
MGAM,Morgan Advanced Materials,Electronic & Electrical Equipment
MSYS,Microsaic Systems,Electronic & Electrical Equipment
OXIG,Oxford Instruments,Electronic & Electrical Equipment
PIP,PipeHawk,Electronic & Electrical Equipment
PPIX,ProPhotonix Limited (DI),Electronic & Electrical Equipment
RGP,Ross Group,Electronic & Electrical Equipment
RSW,Renishaw,Electronic & Electrical Equipment
SDM,Stadium Group,Electronic & Electrical Equipment
SEV,Servision,Electronic & Electrical Equipment
SNT,Sabien Technology Group,Electronic & Electrical Equipment
SXS,Spectris,Electronic & Electrical Equipment
TFW,Thorpe (F W),Electronic & Electrical Equipment
TTG,TT Electronics,Electronic & Electrical Equipment
UVEL,Univision Engineering,Electronic & Electrical Equipment
VLX,Volex Group,Electronic & Electrical Equipment
XAR,Xaar,Electronic & Electrical Equipment
XPP,XP Power,Electronic & Electrical Equipment
ZYT,Zytronic,Electronic & Electrical Equipment
ADN,Aberdeen Asset Management,Financial Services
AFN,ADVFN,Financial Services
ALO,Alecto Minerals,Financial Services
AMBR,Ambrian,Financial Services
AMED,Amedeo Resources,Financial Services
AMP,Amphion Innovations,Financial Services
ARBB,Arbuthnot Banking Group,Financial Services
ARDN,Arden Partners,Financial Services
ARGO,Argo Group,Financial Services
